review,sentiment_polarity,sentiment_label
I loved the sound quality especially the bass. But only problem I felt is it is not comfortable to wear it for long time. Also the bluetooth range is lowREAD MORE,-0.6861,negative
Mic is not good and getting ear pain because of tight pressure.But sound quality is good.READ MORE,-0.6914,negative
i have to cut 1 star ⭐️ because of build quality it press both ear very tight if you wear this for 1-2 hour then your ear 👂 painREAD MORE,-0.2732,negative
It's very weak from outside of the bodyREAD MORE,-0.4927,negative
"So there are many reviews which tells you all the Pros of this product.. beleive me..its a ""worth for money product"" but.. there's a but..!!◀️It's awefully painful to wear them for even 10 minutes▶️I am writing this review in frustration.. that I can't enjoy or use it to my fulfillment... I have to remove them to ease my Ears...🔸 The arch which is made of plastic, seems can break off easily if stretched too much  or the leather padding which stuck on that would peel off  (so no stretching...READ MORE",-0.5442,negative
Very bad designREAD MORE,-0.5849,negative
"Sound quality is nice, but the earpads directly sit on ears and cause pain after sometime. an around the ear design which doesn't put pressure on ears would have been better.READ MORE",-0.3,negative
"Very good earpiece. The sound is great.You can use continuously for an hour, then you may start feeling some pain on ears due to pressure. Else the sound and battery back up is great.READ MORE",-0.204,negative
"Not a good product.  Start showing problems after one  month of purchase.  Only Start when connected with charging. Without charging connection, headset doesn't workREAD MORE",-0.6256,negative
Pros :-Voice quality is goodBass and sound surround is goodCons :-Bluetooth connectivity is poor.Bluetooth range is lessIndications for low battery is not very clear.READ MORE,-0.2732,negative
"I am reviewing this product after 2 months of usage. The bass is very good, build quality was good. But it causes little pain during your initial days of wearing it.Cons - There is difference between quality of audio when heared using Bluetooth and when using wired.READ MORE",-0.2065,negative
"Perfect for music but not good for a call, mic not powerful enoughREAD MORE",-0.5799,negative
Worst quality and one side isn't workingREAD MORE,-0.6249,negative
Microphone quality is very poor.  The person at the other end has a hard time listening and one literally has to shout to make himself/herself audible. Sound quality however is very good.READ MORE,-0.5849,negative
Not a good product.READ MORE,-0.3412,negative
"Good but not for more than 30 minutes continuously., It starting pain in ears.READ MORE",-0.5423,negative
"Bluetooth connectivity is very bad. Even if I move within 4 metre distance from mobile voice or sound going to break. Although, cushion is soft however still it put a lot of pressure on ears.READ MORE",-0.7178,negative
1.Excellent for online games like PUBG( no sound lag and latency problem found at  all after playing for 6 months)2. Sound Quality is heavenly...3. Only problem is its way more tight for big heads like mine...the band got broke after 8 months of purchase due to its tight fitting in my head...but thanks to boat they replaced my product as per warranty...though the new one is more tight😫READ MORE,-0.4767,negative
"Sound is good, but it hurts too much while wearingREAD MORE",-0.4939,negative
Low quality productREAD MORE,-0.2732,negative
Ok ok  bild quility bad sound okokREAD MORE,-0.0258,negative
Will not recommend this product to anyone. Sound quality and connectivity is patheticREAD MORE,-0.2755,negative
The voice of teacher stopped coming suddenly during online class.READ MORE,-0.2263,negative
"Only for 45min use after that star pain in your  ear,Bluetooth connectivity is some times a beep sound is continuously hear in ear , sound is goodREAD MORE",-0.5106,negative
Every time we have to pair in same device . Not a good product...READ MORE,-0.3412,negative
Not good for calling microphone is badREAD MORE,-0.3412,negative
"Build quality of wire is poor. After using this headset for 1 month, external wire is internally broked from one side of 3.5 mm jack now i can use this headphone only by bluetooth not through wire. Otherwise headset is good.READ MORE",-0.4767,negative
"Less comfort, material is so hard and get too hard to use because of the hard earpadREAD MORE",-0.3382,negative
"Sound quality is good but mic is not working properly, not suitable for office meeting. Sorry but very bad product.READ MORE",-0.6897,negative
dissipointed !!!!    (not comfortable)                                                                 Very bad for ears ...hardly 10 to 15mins u can listen music and then .....hhhhh ..pain start ...it also very tight... cushion not good ..(bakwass)                                  sound is quite good ..bass nice ..treble absent...mid is just ok type ...                                                                         build quality good ..specially plastic they used .....           con...READ MORE,-0.7855,negative
Bluetooth range not good only 3 metre range of workingWhile company say about 10 metresREAD MORE,-0.3412,negative
After a year use review..Sound is top class but the mike audio is somehow not that clear ... reliable product but under 1100READ MORE,-0.3348,negative
Super bass and balancing sound but build quality  and connectivity are not good as I expectedREAD MORE,-0.1677,negative
It hurts in your ear if you use it for more than 1 hour continuouslyREAD MORE,-0.4767,negative
i gifted to my Big B. in bhai dhooj festival & he like it very much...quality of sound is too good but major disadvantage is u cnt wear this headphone more than 10 mints...its starts paining in ur head as well as ur ears. very tight...READ MORE,-0.2023,negative
Cushion on neck and ears are supersoft but little bit tight on ear .. Not easy to use for long time... Pairing is easy ... Thanks flipkart for faster deliveryREAD MORE,-0.3331,negative
I gave 4 star because when we wear the headphones and run on track after 10 mins the sweat comes out I will uncomfortable with headphonesREAD MORE,-0.3818,negative
sometimes it takes too much time to connect and even build quality is not that good can't get enough of it though good product in matter of bass and game sounds...READ MORE,-0.5736,negative
Don't buy if u want this for pubg gaming.READ MORE,-0.0572,negative
After using 1 year..... It's getting difficult to pair any devices.READ MORE,-0.3612,negative
Quality not good. With in 2 months battery problem started. It is not getting chargedREAD MORE,-0.6256,negative
Bad product. Scam by flipcart and I want refundREAD MORE,-0.7845,negative
Works good but when using YouTube it makes some itchy loud noises suddenly... My eardrum got displaced because of this headphoneREAD MORE,-0.1779,negative
"disappointed with built quality,, so weak that I'm afraid of using..READ MORE",-0.7809,negative
Bass is not good ... Mrjatt@official.Build quality is also average .Real review you do not buy this...READ MORE,-0.3412,negative
It just a waste product after one week it doesn't work well.Its sound is not clear and not comfortable.READ MORE,-0.6103,negative
"honestly i got these headphones on big billian sale for 1000 rupees.. for that price point, it being a headset is just overkill.. it comes with both wired and bluetooth so battery backup is not a big deal.. BUT the battery backup is very nice.. very deep bass and nice sound overall.. i mean it will be worth ur money if u get it for 1700 or so.. only BAD thing is that as bluetooth version is lower (v2.1 i suppose)  the sound starts chopping if headsets are blocked by ur palm or if u decide t...READ MORE",-0.6428,negative
Bass is great 👍 but it's very tight getting ear pain after using sometimesREAD MORE,-0.4404,negative
It was getting struck while hearing a music.READ MORE,-0.25,negative
"On the ear. So, not comfortable for long use.READ MORE",-0.4553,negative
The sound of the headphones is really nice especailly the base but the mic of this headphones doesn't work at all and also the ear cups are too uncomfortable and tight that you can't wear them more then 15 mins as it starts paining in your ears. the Flipkart also will not solve your problem and you have to suffer a lot to exchange this product. Flipkart also don't provide you return of money in this product so for me it is a very bad experience of buying these headphones from Flipkart. I will...READ MORE,-0.9417,negative
Every thing is good but it is to irritating to keep it in earREAD MORE,-0.4678,negative
This headphone is good but not comfortable and it's price rate is high and also the body of this headphone is very weak........😊😊READ MORE,-0.3824,negative
"When you put for sometime, ears are paining too muchREAD MORE",-0.4019,negative
Awesome bluetooth full of base I'm using till 10 months no damages no repairs all well...value of money but one of the problem I saw that it's paining ears long time hearing music (2 hours continuously) overall it's good...thank u boAt...READ MORE,-0.8271,negative
A must buy product. Just not sure about mic thoughREAD MORE,-0.2411,negative
The comphertness of headphone is bad after 1hr pain in ear and head other is very good performance 👍READ MORE,-0.5584,negative
Don't buy this headphone. I agree that its bass and sound quality is very good but it's body and build quality is very poor I break from left side and I am writing this review just after 2 week from buying it it is a very poor headphone and I used it very carefully but it's band breaked. Thus you can see in the image 😓READ MORE,-0.7305,negative
Not suitable for long time. Head phone ear-cup design too poor not fitting properly. Also material are of poor quality. If used more that 0=30  minutes  ears start paining. Not atoll suitable for kids for the online classes.Also they refusing to take back or replacement.READ MORE,-0.891,negative
No words to say its totally amazing...READ MORE,-0.296,negative
Most affordable productBut tight ear cups is pain in ear.READ MORE,-0.5106,negative
Worst product ever I suggest to don't buy itREAD MORE,-0.6249,negative
Headphone is too tight and not comfortable .You can not use it for long period And not good for ears.READ MORE,-0.6259,negative
Worth its price just one problem build quality need to be more higherREAD MORE,-0.2023,negative
"Worst product I have ever received, problem with Bluetooth connectivity and the sound quality is very badREAD MORE",-0.7783,negative
"It's mic is not helpful. In every call I have to disconnect headphone, coz caller heard very low voice, they feel I'm talking from long distance.READ MORE",-0.5754,negative
It is too tight and paining with in 20min of usage. Compatability with mobile phones is not that good. I tried with Zenfone Pro M1 and Honor View 10 mobiles. volume up and down buttons not working as expected. Those buttons are always changing songs. Call clarity is actually worst. I tried in almost 10 different devices. Voice always get disconnected. Only good point I see is audio quality and bass is good while listening songs.READ MORE,-0.7974,negative
"I can't believe this is boat product, Build quality is worst. Below Average Product.READ MORE",-0.6249,negative
So tight that gives pain on ear but other things is goodREAD MORE,-0.2846,negative
Worst product ever I usedREAD MORE,-0.6249,negative
Bass is awesomesounds quility awesomeBattery performance also awesomebut build quility is not good because when use this head phones continuously half hour it feel so pan in ear...READ MORE,-0.3412,negative
Sound quality is excellent but very painful design.READ MORE,-0.4478,negative
A total waste of money! Go for 450!READ MORE,-0.5242,negative
Worst sound in this priceREAD MORE,-0.6249,negative
best quality as expected...but have a problem than after using for some time it starts pain in ear...not expectedREAD MORE,-0.2023,negative
Mic very bad... Poor Colling voiceREAD MORE,-0.5233,negative
Worst productREAD MORE,-0.6249,negative
don't buy it. it's worst build qualityREAD MORE,-0.6249,negative
"In this price range, you can't expect anything better than this. You'll feel every high and low. If you are interested in buying these headphones, go for boat rockerz 450 instead.READ MORE",-0.2037,negative
I am using this headphone for 10 days.My review in a nutshell:Pros: Superb bass and sterdy built quality.Cons: Range is not good at all. Also not a very comfortable to use headphone. Your ears will start sweating after few minutes! Can't use this while jogging or gym since it is not a waterproof or sweat proof headphone.But overall in this price range u can't expect a lot.READ MORE,-0.1323,negative
To much pain in ear dont buy this boat 400READ MORE,-0.5106,negative
Headband broke in 1 yearREAD MORE,-0.4215,negative
"After using for a month, it is found that ear cup are small so on long use it hurts.. secondly in my case right side was loose after some days, resulting not getting the grip..Good point is sound quality (not vocal) and price..and ofcourse indian companyREAD MORE",-0.3182,negative
Nice headphones but having low bassREAD MORE,-0.1901,negative
No Bass.... Very Bad...😠😠😠READ MORE,-0.296,negative
"First two months it was working good,after that one side of the headphone stopped workingREAD MORE",-0.2263,negative
"while in call you will a get distubance sound, when you try to listen songs by connecting AUX cable you won't get better quality and battery backup is goodREAD MORE",-0.3412,negative
Not good for callingREAD MORE,-0.3412,negative
Sound is great.. Bass is low... Bt earcups r pain. Too hard..READ MORE,-0.5106,negative
"Base is very good,built quality is amazing,sound is loud,but not very clear song this is only concern that sound is not clear,I bought this for 999READ MORE",-0.3401,negative
"Battery backup is okay, generally gives about 3-4 hrs of usage on full charge. When the battery is about to die, the number of times it notifies gets irritating, so you won't be able to listen to anything except the notification of the battery being low.The microphone performance is really bad, it seems like you are talking from a distance.The ear pads are small, it is comfortable for a use of 30 mins but if you want to use it for hours it is not good, it will start hurting you.The so...READ MORE",-0.8203,negative
"Not comfortable, creates headache, in just 1-2 hourREAD MORE",-0.5448,negative
good sound quality via bluetooth.but bad quality via aux cable.READ MORE,-0.1531,negative
Not comfortable to wear in the initial days......nd no return policy.....Sound quality is good....READ MORE,-0.5996,negative
I'm writing the review after around 2 or more months of use.... Bluetooth is not that good... You'll unable to hear sound if wind is fast coz of not so good bluetooth..And baki sab badiya lagaREAD MORE,-0.464,negative
Build quality is poor because my headset is broken 5 months after    and sound is too goodREAD MORE,-0.7351,negative
"Not comfortable , while using more tha 20minute cause pain in in ears,Too much tight grip over ears else built is bestREAD MORE",-0.7186,negative
Very bad product from boAt. Very poor sound quality and even u cannot answer the call due the distarbance in sound.I have asked for return but that peace is also damaged. According to me this model of boAt is not worth buying go for other model or other brand.READ MORE,-0.5707,negative
The headphone was working fine till 1 month but after that the aux cable stopped working and I was not able to use it wired. I suggest you to buy headphones of a reputed brand rather than boatREAD MORE,-0.2382,negative
Very bad fittingREAD MORE,-0.5849,negative
Good sound but extremely poor build quality...Broke after using for 5 monthsREAD MORE,-0.5632,negative
"OMG!!!! Don’t buy it.. the seller gave a crushed and used product.... very disappointing..Bluetooth doesn’t work... and if it works (Bluetooth) ,the device switches off on its own... batter pack useless.READ MORE",-0.6083,negative
average product and average volume not good not badREAD MORE,-0.3412,negative
All is well but.verry bad productBecouse only 30 day has been distroyREAD MORE,-0.34,negative
Good but not so much comfortable and battery life is not goodREAD MORE,-0.4427,negative
All ok but they propossed noice cancellation but there is no noice cancellation option or anything elseREAD MORE,-0.296,negative
Product is good in terms of sound quality but feel hear pain wearing long time.READ MORE,-0.5423,negative
Good but after some days (when return policy over) you realise this not good one because day by day it loose my hopes not that good much thanks.READ MORE,-0.5451,negative
These headphones are really awesome but the only disadvantages if you use this too much our ears will get hurtREAD MORE,-0.2152,negative
"I like This Product Sounds Quality and Bass Are Good , But The Issue Is It pains So Much, I have to remove this time to time to rest my ears.READ MORE",-0.25,negative
"Product is good at 1000rs but feel very hard on ear ,I feel pain in my ears after using 30min onlyREAD MORE",-0.6746,negative
Please don't buy this product once you wear it you can't handle the pressure exerted by headphones. Your ears will beg you to put it off. It's a curse for ears.READ MORE,-0.0803,negative
worst product because torn in 14days of useREAD MORE,-0.7269,negative
Sounds quality is good but it irritating and pain ear after 1 hour useREAD MORE,-0.8176,negative
A bit uncomfortable on ears baki to mast haiREAD MORE,-0.3818,negative
Worst productREAD MORE,-0.6249,negative
Connective is not good . It automatically disconnected every 4-5min and then automatically connect.READ MORE,-0.3412,negative
"overall a great performer but doesn't excel in any particular department. For the price it is being offered at, it is a good deal. The cups are tight and the leather band beneath the headband has weak glue. The wireless functionality is basically useless if you are buying these for music because bluetooth has smaller bandwidth and doesn't allow high bitrate, hence poor quality, therefore, use the aux cable provided for music. the pair costs this much for its features not just sound. if you wa...READ MORE",-0.889,negative
Product is excellent. But the package of the product is not up to the mark. Packaging is very loose not even the sticker is properly attached.READ MORE,-0.2592,negative
"Sound quality is good bt head band quality is so poor, after 1 month head band getting loose.READ MORE",-0.2712,negative
"Design,  bass,  sound all are good but after few minutes use your ear pain start. It's not cover complete ear.READ MORE",-0.5423,negative
"It isnt comfortable for hearing long time. I had ear pain when i am using it for more than 45 minutes, so i bought normal ear phones again.READ MORE",-0.7186,negative
no noise cancellation. bad for calls .otherwise a gud choiceREAD MORE,-0.6908,negative
"This product have excellent quality in sound, bass....... I used this headset near about 2year upto now, but i have no complaint about this product..... ThankBoat for this product...READ MORE",-0.5023,negative
Sound quality is good for the price. Becomes really uncomfortable after an hour of use. Ears start paining due to pressure. Ears become warm very often.READ MORE,-0.4576,negative
"it's a very decent product.Till now I've faced no issue with this.The eye catching feature I found is its two way of connecting with the device.It can be connected through bluetooth as well as with the aux cable as provided inside the box.So,when the headphone gets out of charge,it remains usable with that aux cable with proper functioning.READ MORE",-0.0258,negative
Microphone is not good. The peer wont be able to hear you.READ MORE,-0.3412,negative
"Battery working good,Bass also ok,But Built Quality is Not good, Becoz Its Coming with Plastic Frame,( My recommendations is take steel metal frame headset)My Headset was broken after using 8MonthsREAD MORE",-0.6711,negative
Not worth buyingREAD MORE,-0.1695,negative
Its head belt broken four timesREAD MORE,-0.4767,negative
"Sound goes outside of the headset, cannot speak as there is no micREAD MORE",-0.296,negative
U know electronic issues otherwise good sound quality but bass is low for meREAD MORE,-0.1779,negative
Very bad experience. Bluetooth is not working after a month. Thought boat would maintain their quality.READ MORE,-0.5849,negative
this is an awesome product at this price. i bought it on january and its may by now and its an still in condition eith no faults. if u r a bgm lover go for this one. but if u r a gamer i wont support it. thnx flipkart💓READ MORE,-0.1499,negative
"""When music hits you, It doesn't hurt but this headphone does.""Quality, design and bass are lovable so its gonna last long but as it is made of metal so its a little tight from the both ends and thats gonna hurts your ears. Unfortunately in Red & black mic doesn't work i think.""If you don't mind that it hurts then this product is just for you."".06Feb2018Boat service is 5/5...READ MORE",-0.6139,negative
Led indicators not workingNot comfortable for long time useAfter 15-20min of used ear is little bit painBcoz of tight fighting...READ MORE,-0.4023,negative
"Don't go to buy this product after a month of used, it's design became down, basically head band lower layer fully damaged just after few month of usedREAD MORE",-0.659,negative
Not comfortable on earREAD MORE,-0.4023,negative
Worst mic everrrrrrr!Don't buy it!I have used it for almost 1 month and faced mic problem!READ MORE,-0.7163,negative
I review After 1 mounth use and my experiense is superb Base and sound Quality is mind blowing but mid tones in movies in low volume is not goodREAD MORE,-0.0258,negative
Pain in ear after usingREAD MORE,-0.5106,negative
I liked the sound quality but it doesn't sit well on my ear..that's little bit disturbing but the product is goodREAD MORE,-0.6546,negative
So good i like itIt is not best for free fireREAD MORE,-0.0255,negative
all rounder .... works well ...in all fields .... not best but goodREAD MORE,-0.1615,negative
The ears feel a little sore after using it a long time...everything else is fine..READ MORE,-0.2975,negative
Very bad product 😠😡 this is not usefulREAD MORE,-0.5849,negative
Onr side stopped workingREAD MORE,-0.2263,negative
Very bad product bluetooth doesn't works after 2 months it was not charging and the buttons were not workingREAD MORE,-0.5849,negative
"Worst quality third class headset, not even a month it withstood it broke. Waste of money.READ MORE",-0.8658,negative
Ear pain is assured within 15 mins of used but the sound quality is extra ordinary but I don't recommend this as comfortablity has most priorityREAD MORE,-0.4705,negative
the build quality is worst. broke within a week.READ MORE,-0.7845,negative
An Awesome Product...Must Buy it...Beast at this Price Point...Feels a bit tight at ears but you'll get used to it after sometime...not a major problem to worry about... awesome sound and insane bass... Highly recommendREAD MORE,-0.4118,negative
Its just been a month and I started hearing complains from people from other side of the phone or meeting that I am not audible.The microphone is not reliableREAD MORE,-0.3818,negative
"Headset is good, but little disappointed on comfort.READ MORE",-0.4138,negative
"Worst product, useless customercare. Works only couple of weeksREAD MORE",-0.7845,negative
"During call mic is not good. And if you disconnect from mobile, it is not getting switch off automatically.READ MORE",-0.3412,negative
"Bought it the second time because of good bass. But just after a month the audio jack socket got damaged by itself. It's not the first, but second time and the same problem. I don't suggest wasting money on this!READ MORE",-0.5934,negative
It hurts my ear but sound quality really nice.READ MORE,-0.2617,negative
It is too delicate... I widened it to wear and it broke from the top...READ MORE,-0.4215,negative
"Ok product. However, in 15 days of use, I must say the person on another call cannot hear our voice. I am not able to hear media from you tube. Not a good purchase.READ MORE",-0.0531,negative
Bluetooth connection lost when listen music And sound come out the from headphone.READ MORE,-0.3182,negative
"Build quality is not so good. Cause pain in ears after some use, even if the volume is Half. Can't be used for long hoursREAD MORE",-0.7644,negative
"-The product description page says it is Bluetooth v 4.1 but it is actually v 2.1 which means poor connectivity and range.-You have to adjust equalizer settings in your phone (if it allows) to get good sound else you will hear just bass and vocals and other sounds will be suppressed. Sound quality is good to listen to music.-Beware if you are buying it to make regular or VoIP calls, the sound keeps breaking with noise. Not ideal for calls and meetings.-Build quality could have been better,...READ MORE",-0.0294,negative
This headphones are not comfortable for long use or after 30min your ear will start painning too much I'm using from months this headphones are not goodREAD MORE,-0.4023,negative
Just fab!U will not get any better deal on this price range except boat rockerz 400🎧READ MORE,-0.4015,negative
Very good product but little tighter causing small pain on earREAD MORE,-0.5193,negative
Satisfied with the product. Little bit heavy. Cause pain in ears if long useREAD MORE,-0.128,negative
"Overall sound quality good, mild ,relaxing after full volume also ,but painful fitting on the head after 1-2hrs of continue use ...may be it will become lose after some use....READ MORE",-0.6542,negative
main problem of this product don't have good Bluetooth connetivity during pubg playing and other game 😣READ MORE,-0.5116,negative
"Sound quality is good, but little bit pain after 20minREAD MORE",-0.4736,negative
1 star is cut for material usedREAD MORE,-0.2732,negative
It willl defect with in 1 monthsREAD MORE,-0.34,negative
Sound quality and design is great but this is not comfortable for wearingREAD MORE,-0.2507,negative
"Not covering ears, holding tight hence paining after sometimesREAD MORE",-0.4019,negative
"I have purchased this headset, when i got this one the build quality is very bad nd it is very bad head set i ever usedREAD MORE",-0.8218,negative
It gives you  pain when you wear its for more than 30 min .READ MORE,-0.5106,negative
"I am using this bluetooth headset from last month and I can say one thing This headphones 🎧 are not upto mark as its shows The sound quality of headphones are okay and the bass sound is also just okay types But one of the major drawback of this headphones are you can't wear this headphones continues more than 30 minutes , it started causing pain to your ears and moreover these headphones are also not comfortable to wear for a long timeThe design of headphones are okay but the quality usi...READ MORE",-0.6959,negative
Sounds quality is awesome but one thing microphone is not good when you talk to another person through headphones than not listen clear voice....READ MORE,-0.5163,negative
The sound quality and all is somewhat goodBut the design is literally very very bad it's just feel like something is squeezing your head.It feels very bad. Even if u use for 5-10min ur head start aching very bad.Buy this only when  u are suitable to use it.READ MORE,-0.8703,negative
Product is good but no adjustments for the head size. So after some time we will get pain.READ MORE,-0.2144,negative
The sound is delayed by a second when its connected to bluetooth. It works fine when the aux is connected.READ MORE,-0.0258,negative
"It's nice products but suddenly it's stop after 2 year I was found no service station of boat near by me, no other electronic store can repair this product only service stop of boat can repair it so I have to throw it in my dustbin... Sad experience with boatREAD MORE",-0.9253,negative
Good product with in 1000. but bass is not that much clear. overall product is goodREAD MORE,-0.2086,negative
Giving less stars reason being one side speaker has fault and no sound coming in less than one month of use. Now want to understand where to complaint for this.Flipkart please.help.Thanks.READ MORE,-0.5267,negative
"its design is very rigid and compact , using just an hour gave me ear acheREAD MORE",-0.2006,negative
People's can hurt but this will heal you .READ MORE,-0.296,negative
"One ear of the headphone stopped working after 1week, contacted boat Customer care, they asked to register a complaint, in the complaint registration section i tried to upload the purchase invoice thousand times, each time it shows failed to upload, so ideally i lost my money and suffering with a defective product, Thanks Boat and Flipkart, very good customer service, hats off.........READ MORE",-0.5055,negative
cable is not good its worst👎. Bluetooth is good.READ MORE,-0.3412,negative
"Good Product, Very powerful BASS, Dual connectivity, But the only problem is that you cannot wear it for a long time continuously.READ MORE",-0.1415,negative
Worse qualityREAD MORE,-0.4767,negative
Microphone is not good.Otherwise it's a good product.READ MORE,-0.3412,negative
"It's start breaking in just one month , not worth for moneyREAD MORE",-0.1695,negative
"I am received this headset on 14/06/2019. I am utterly disappointed about this built quality. Why they are cheating customers by sending this type of items, I couldn't understand. Literally FLIPKART should ban this seller.READ MORE",-0.8908,negative
Bad this productREAD MORE,-0.5423,negative
Useless products hai yeREAD MORE,-0.4215,negative
"Having more pressure on the ears, due to compression of the ear cups.READ MORE",-0.3597,negative
I'm writing the review after around 2 or more months of use.... Bluetooth is not that good... You'll unable to hear sound if wind is fast coz of not so good bluetooth..And baki sab badiya lagaREAD MORE,-0.464,negative
It is tight on the ears and gets uncomfortable after some hours. Other than that the product is goodREAD MORE,-0.3818,negative
Good volume and bass... But not comfortable use for a long timeREAD MORE,-0.3824,negative
not as good as red mi earphones. moderate base. good sound.noice cancellation is working fine.READ MORE,-0.5875,negative
It is really good headphone.But it causes pain to ear after some time.otherwise everything is good.READ MORE,-0.0276,negative
"The headphones amazing and all,but I faxed problem  when the Bluetooth mode stopped working, and warranty claim is worst almost 1 month since it was taken back but still no updateREAD MORE",-0.6428,negative
"I shouldn't have given any ratings. But, for sound quality, I'm giving 1 star.Ears are starting to hurt after 10 minutes of usage. Poor build quality. And the most important problem is calling through Bluetooth. When, you will call through this headphone, the opposite person couldn't hear you properly after 5 mins. I have checked it so many times. It is the main issue. They are not giving me refund. I have replaced the product once but the problem not fixed. Very disappointed.READ MORE",-0.8704,negative
Range is too low and very hard and weight is too highREAD MORE,-0.4201,negative
worth for money. but this headphones is only for people having metal ears. paining after a long use . the cushion 1.soft arramgements should me more soft .2.Bluetooth range is not expected as much .3.not suitable for Bluetooth Calling.4.a small dot sound is audible when we use it low volume 5.whenever notification come to my phone dot sound is been produced . 6.better for using in aux cable.READ MORE,-0.6956,negative
Don't take this product its so damm hard ur ears will hurt soo badly only after 15 min Its just saying soft but its not And u will not get refund in this product alsoREAD MORE,-0.5558,negative
Auxiliary cable doesn't work good. But overall product is good. Sufficient charging and good sound quality. Good blutooth range.READ MORE,-0.4715,negative
